date,code,name,product,median,avg,low,high,count
2026-04-24,NINJA,Ninja Spinner,Mega Dragalge ex #116 SR PSA 10,1016.76,975.84,890.75,1020.01,3
2026-04-24,NINJA,Ninja Spinner,Cinccino ex #117 SR PSA 10,908.73,908.73,890.91,926.55,2
2026-04-24,NINJA,Ninja Spinner,Roxie's Performance #119 SR PSA 10,988.5,988.5,921.63,1055.37,2
2026-04-24,NIHIL,Nihil Zero,Dedenne #085 SR PSA 10,250.74,257.15,230.22,296.89,4
2026-04-24,NIHIL,Nihil Zero,Clefairy #086 SR PSA 10,245.08,237.67,192.04,275.31,8
2026-04-24,NIHIL,Nihil Zero,Espurr #087 SR PSA 10,149.64,149.64,149.64,149.64,1
2026-04-24,NIHIL,Nihil Zero,Mega Zygarde ex #097 SR PSA 10,273.88,273.88,268.78,278.98,2
2026-04-24,NIHIL,Nihil Zero,Rosa's Encouragement #107 SR PSA 10,328.59,327.83,276.54,364.6,6
2026-04-24,NIHIL,Nihil Zero,Mega Starmie ex #111 SR PSA 10,291.68,294.58,276.47,316.47,11
2026-04-24,NIHIL,Nihil Zero,Mega Clefable ex #112 SR PSA 10,293.43,295.29,219.85,396.37,12
2026-04-24,NIHIL,Nihil Zero,Mega Zygarde ex #113 SR PSA 10,384.08,393.75,340.0,460.89,15
2026-04-24,NIHIL,Nihil Zero,Meowth ex #114 SR PSA 10,558.38,588.71,505.43,738.03,20
2026-04-24,NIHIL,Nihil Zero,Rosa's Encouragement #115 SR PSA 10,1052.37,1099.85,970.18,1363.96,13
2026-04-24,NIHIL,Nihil Zero,Jacinthe #116 SR PSA 10,320.41,322.91,318.02,330.31,3
2026-04-24,NIHIL,Nihil Zero,Mega Zygarde ex #117 SR PSA 10,1396.65,1493.78,1201.1,1836.59,7
2026-04-24,INFX,Inferno X,Ludicolo #081 SR PSA 10,77.2,77.2,76.82,77.58,2
2026-04-24,INFX,Inferno X,Nymble #082 SR PSA 10,77.2,77.2,76.82,77.58,2
2026-04-24,INFX,Inferno X,Charcadet #083 SR PSA 10,72.21,83.99,70.85,108.9,3
2026-04-24,INFX,Inferno X,Piplup #085 SR PSA 10,125.0,121.6,93.72,135.2,9
2026-04-24,INFX,Inferno X,Zacian #087 SR PSA 10,101.94,96.52,75.1,124.99,8
2026-04-24,INFX,Inferno X,Flygon #088 SR PSA 10,90.3,87.65,70.62,99.85,8
2026-04-24,INFX,Inferno X,Toxtricity #089 SR PSA 10,67.63,55.57,29.95,69.13,3
2026-04-24,INFX,Inferno X,Togedemaru #090 SR PSA 10,71.41,71.41,70.62,72.21,2
2026-04-24,INFX,Inferno X,Wigglytuff #091 SR PSA 10,99.79,98.0,80.0,115.95,5
2026-04-24,INFX,Inferno X,Ambipom #092 SR PSA 10,100.52,100.52,86.9,114.13,2
2026-04-24,INFX,Inferno X,Empoleon ex #099 SR PSA 10,71.41,71.41,70.62,72.21,2
2026-04-24,INFX,Inferno X,Grimsley's Move #105 SR PSA 10,68.35,68.35,67.58,69.13,2
2026-04-24,INFX,Inferno X,Dawn #106 SR PSA 10,152.79,224.93,118.28,425.64,19
2026-04-24,INFX,Inferno X,Mega Charizard X ex #110 SR PSA 10,2464.44,2493.23,2205.31,3000.0,39
2026-04-24,INFX,Inferno X,Oricorio ex #111 SR PSA 10,276.52,283.93,249.99,339.55,29
2026-04-24,INFX,Inferno X,Rotom ex #112 SR PSA 10,119.82,115.39,96.77,134.23,11
2026-04-24,INFX,Inferno X,Mega Sharpedo ex #113 SR PSA 10,111.09,112.8,92.16,129.99,16
2026-04-24,INFX,Inferno X,Mega Lopunny ex #114 SR PSA 10,127.6,126.47,110.6,140.56,8
2026-04-24,INFX,Inferno X,Dawn #115 SR PSA 10,236.98,278.98,174.99,445.95,31
2026-04-24,MBRAVE,Mega Brave,Bulbasaur #064 SR PSA 10,121.35,116.89,93.7,136.38,11
2026-04-24,MBRAVE,Mega Brave,Ivysaur #065 SR PSA 10,107.59,106.68,75.14,146.59,28
2026-04-24,MBRAVE,Mega Brave,Exeggutor #066 SR PSA 10,97.9,94.7,75.14,109.96,9
2026-04-24,MBRAVE,Mega Brave,Vulpix #067 SR PSA 10,101.76,102.7,85.0,122.3,4
2026-04-24,MBRAVE,Mega Brave,Riolu #068 SR PSA 10,80.0,79.75,79.0,80.0,4
2026-04-24,MBRAVE,Mega Brave,Marshadow #069 SR PSA 10,104.47,106.49,66.08,157.32,23
2026-04-24,MBRAVE,Mega Brave,Garganacl #070 SR PSA 10,75.9,77.71,63.11,98.11,5
2026-04-24,MBRAVE,Mega Brave,Spiritomb #071 SR PSA 10,61.45,61.43,60.1,62.73,3
2026-04-24,MBRAVE,Mega Brave,Shroodle #072 SR PSA 10,83.44,102.82,64.61,169.7,6
2026-04-24,MBRAVE,Mega Brave,Steelix #073 SR PSA 10,91.0,96.41,66.11,132.11,13
2026-04-24,MBRAVE,Mega Brave,Spearow #074 SR PSA 10,61.45,73.15,60.1,97.9,3
2026-04-24,MBRAVE,Mega Brave,Yungoos #075 SR PSA 10,107.88,107.14,104.47,109.08,3
2026-04-24,MBRAVE,Mega Brave,Mega Venusaur ex #076 SR PSA 10,140.0,135.0,122.12,142.88,3
2026-04-24,MBRAVE,Mega Brave,Mega Camerupt ex #077 SR PSA 10,93.5,111.0,75.28,164.48,5
2026-04-24,MBRAVE,Mega Brave,Mega Lucario ex #078 SR PSA 10,122.91,124.17,122.09,127.51,3
2026-04-24,MBRAVE,Mega Brave,Mega Absol ex #079 SR PSA 10,68.35,68.35,67.58,69.13,2
2026-04-24,MBRAVE,Mega Brave,Mega Mawile ex #080 SR PSA 10,89.99,89.99,89.99,89.99,1
2026-04-24,MBRAVE,Mega Brave,Lillie's Determination #086 SR PSA 10,437.85,450.5,373.31,576.12,10
2026-04-24,MBRAVE,Mega Brave,Mega Venusaur ex #087 SR PSA 10,226.65,226.01,153.63,274.85,30
2026-04-24,MBRAVE,Mega Brave,Mega Lucario ex #088 SR PSA 10,409.26,398.35,330.31,431.86,15
2026-04-24,MBRAVE,Mega Brave,Mega Absol ex #089 SR PSA 10,157.31,163.82,115.22,209.14,24
2026-04-24,MBRAVE,Mega Brave,Lillie's Determination #091 SR PSA 10,1192.04,1260.17,1032.11,1510.33,14
2026-04-24,MBRAVE,Mega Brave,Mega Lucario ex #092 SR PSA 10,2179.49,2278.1,1965.07,2759.76,15
2026-04-24,MSYMPH,Mega Symphonia,Shuckle #064 SR PSA 10,125.77,125.77,122.88,128.65,2
2026-04-24,MSYMPH,Mega Symphonia,Ninjask #065 SR PSA 10,86.9,86.9,86.9,86.9,1
2026-04-24,MSYMPH,Mega Symphonia,Litleo #066 SR PSA 10,90.0,90.0,90.0,90.0,1
2026-04-24,MSYMPH,Mega Symphonia,Snover #067 SR PSA 10,66.92,71.74,66.23,86.9,4
2026-04-24,MSYMPH,Mega Symphonia,Clawitzer #068 SR PSA 10,85.7,85.7,84.5,86.9,2
2026-04-24,MSYMPH,Mega Symphonia,Inteleon #069 SR PSA 10,66.85,68.89,54.95,86.9,4
2026-04-24,MSYMPH,Mega Symphonia,Helioptile #070 SR PSA 10,64.53,78.91,63.31,108.9,3
2026-04-24,MSYMPH,Mega Symphonia,Alakazam #071 SR PSA 10,97.44,96.26,76.82,110.61,23
2026-04-24,MSYMPH,Mega Symphonia,Shedinja #072 SR PSA 10,86.9,86.9,86.9,86.9,1
2026-04-24,MSYMPH,Mega Symphonia,Houndstone #073 SR PSA 10,69.83,75.29,69.13,86.9,3
2026-04-24,MSYMPH,Mega Symphonia,Delibird #074 SR PSA 10,78.28,79.39,63.11,97.9,4
2026-04-24,MSYMPH,Mega Symphonia,Mega Abomasnow ex #076 SR PSA 10,77.55,77.55,76.82,78.28,2
2026-04-24,MSYMPH,Mega Symphonia,Mega Manectric ex #077 SR PSA 10,68.35,68.35,67.58,69.13,2
2026-04-24,MSYMPH,Mega Symphonia,Mega Gardevoir ex #078 SR PSA 10,102.08,112.83,64.99,174.23,6
2026-04-24,MSYMPH,Mega Symphonia,Mega Latias ex #079 SR PSA 10,122.62,131.8,67.58,220.92,10
2026-04-24,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #080 SR PSA 10,156.39,156.39,146.56,166.22,2
2026-04-24,MSYMPH,Mega Symphonia,Rare Candy #082 SR PSA 10,54.02,54.02,52.22,55.81,2
2026-04-24,MSYMPH,Mega Symphonia,Acerola's Prank #084 SR PSA 10,162.42,162.07,153.53,169.94,4
2026-04-24,MSYMPH,Mega Symphonia,Wally's Compassion #085 SR PSA 10,128.14,128.14,128.14,128.14,1
2026-04-24,MSYMPH,Mega Symphonia,Mega Gardevoir ex #087 SR PSA 10,453.67,435.59,360.0,489.59,20
2026-04-24,MSYMPH,Mega Symphonia,Mega Latias ex #088 SR PSA 10,225.04,219.66,151.33,276.39,31
2026-04-24,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #089 SR PSA 10,181.76,176.96,121.02,232.95,26
2026-04-24,MSYMPH,Mega Symphonia,Acerola's Prank #090 SR PSA 10,354.85,385.52,250.0,553.69,16
2026-04-24,MSYMPH,Mega Symphonia,Wally's Compassion #091 SR PSA 10,153.68,153.68,153.59,153.76,2
2026-04-24,MSYMPH,Mega Symphonia,Mega Gardevoir ex #092 SR PSA 10,2164.73,2193.3,1955.29,2656.12,11
